SOE_18,COMNAME,Fed_Managed
Other,"FISH,OTHER-INDUSTRIAL",NA
Other,FLAME BOX CRAB,NA
Other,FLAMEFISH,NA
Other,FLAT ANCHOVY,NA
Other,FLAT NEEDLEFISH,NA
Other,FLORIDA POMPANO,NA
Other,FLORIDA SMOOTHHOUND,NA
Other,FLOUNDER UNCL,NA
Other,FLYING GURNARD,NA
Other,FLYING HALFBEAK,NA
Other,FOURBEARD ROCKLING,NA
Other,FOUREYE BUTTERFLYFISH,NA
Other,FOURHORN SCULPIN,NA
Other,FOURSPINE STICKLEBACK,NA
Piscivore,FOURSPOT FLOUNDER,NA
Piscivore,FOURSPOT FLOUNDER,NA
Other,FOURWING FLYINGFISH,NA
Other,FRECKLED BLENNY,NA
Other,FRECKLED SOAPFISH,NA
Other,FRECKLED STARGAZER,NA
Other,FRIENDLY BLADE SHRIMP,NA
Other,FRIGATE MACKEREL,NA
Other,FRILLFIN GOBY,NA
Other,FRINGED FILEFISH,NA
Other,FRINGED FLOUNDER,NA
Other,GAFFTOPSAIL CATFISH,NA
Other,GAG,NA
Other,GALATHEID UNCL,NA
Other,GARFISHES,NA
Other,GIZZARD SHAD,NA
Other,GLACIER LANTERNFISH,NA
Other,GLADIATOR BOX CRAB,NA
Other,GLASSEYE SNAPPER,NA
Other,GOBY FLATHEAD,NA
Other,GOBY UNCL,NA
Other,GOLDEN DEEPSEA CRAB,NA
Other,GOLDFACE TILEFISH,NA
Piscivore,GOOSEFISH,JOINT
Piscivore,GOOSEFISH,JOINT
Other,GRAY ANGELFISH,NA
Other,GRAY FLOUNDER,NA
Other,GRAY SNAPPER,NA
Other,GRAY TRIGGERFISH,NA
Other,GREAT BARRACUDA,NA
Other,GREAT HAMMERHEAD SHARK,NA
Other,GREATER AMBERJACK,NA
Other,GREEN CRAB,NA
Other,GREEN SEATURTLE,NA
Other,GREENBAND WRASSE,NA
Other,GREENEYE UNCL,NA
Other,GREENLAND COCKLE,NA
Other,GREENLAND HALIBUT,NA
Other,GRENADIER UNCL,NA
Other,"GROUPER,CONEY",NA
Other,GRUBBY,NA
Other,GRUNT UNCL,NA
Other,"GRUNT,WHITE",NA
Other,GUAGUANCHE,NA
Other,GULF FLOUNDER,NA
Other,GULF KINGFISH,NA
Other,GULF STREAM FLOUNDER,NA
Benthivore,HADDOCK,NEFMC
Benthivore,HADDOCK,NEFMC
Benthivore,HADDOCK,NEFMC
Benthivore,HADDOCK,NEFMC
Benthivore,HADDOCK,NEFMC
Benthivore,HADDOCK,NEFMC
Other,HAGFISH,NA
Other,HAKE UNCL,NA
Other,"HAKE,LONGFIN",NA
Other,HAKES,NA
Other,HALFBEAKS,NA
Other,HARDHEAD CATFISH,NA
Other,HARVESTFISH,NA
Other,HARVESTFISHES,NA
Other,HATCHETFISH UNCL,NA
Other,HAWKSBILL SEATURTLE,NA
Other,HEADLIGHTFISH,NA
Other,HEADLIGHTFISH UNCL,NA
Other,HERMIT CRAB UNCL,NA
Other,HERRING SMELT,NA
Other,HERRING UNCL,NA
Other,"HERRING,RIVER",NA
Other,HICKORY SHAD,NA
Other,HIGH-HAT,NA
Other,HIGHFIN SCORPIONFISH,NA
Other,HOGCHOKER,NA
Other,HOGFISH,NA
Other,HONEYCOMB COWFISH,NA
Other,HONEYCOMB MORAY,NA
Other,HOOKEAR SCULPINS,NA
Other,HORNED LANTERNFISH,NA
Other,HORNED SEAROBIN,NA
Other,HORNED WHIFF,NA
Other,HORSE-EYE JACK,NA
Other,HORSESHOE CRAB,NA
Other,HOUNDFISH,NA
Other,HUNCHBACK SCORPIONFISH,NA
Other,ICELAND SCALLOP,NA
Other,ICELAND SCALLOP CLAPPER,NA
Other,INQUILINE SNAILFISH,NA
Other,INSHORE LIZARDFISH,NA
Other,IRISH MOSS,NA
Other,JACK POMPANO UNCL,NA
Other,"JACK,BAR",NA
Other,JACKKNIFE-FISH,NA
Other,JAMBEAU,NA
Other,"JELLYFISH,UNC",NA
Piscivore,JOHN DORY,NA
Other,JOLTHEAD PORGY,NA
Benthivore,JONAH CRAB,NA
Other,KEELCHEEK BASS,NA
Other,KEMP'S RIDLEY SEATURTLE,NA
Other,KING MACKEREL,NA
Other,KING WHITING,NA
Other,KNOBBED PORGY,NA
Other,KNOBBED WHELK,NA
Benthivore,LADY CRAB,NA
Other,LADYFISH,NA
Other,LANCER STARGAZER,NA
Other,"LANCETFISHES,UNC",NA
Other,LANE SNAPPER,NA
Other,LANTERN BASS,NA
Other,LANTERNFISH UNCL,NA
Other,LARGESCALE LIZARDFISH,NA
Other,LARGESCALE TONGUEFISH,NA
Other,LAUNCES,NA
Other,LEATHERBACK SEATURTLE,NA
Other,LEATHERJACK,NA
Other,LEFTEYE FLOUNDER UNCL,NA
Other,LEMON SHARK,NA
Other,LEOPARD SEAROBIN,NA
Other,LEOPARD SHARK,NA
Other,LEOPARD TOADFISH,NA
Other,LESSER AMBERJACK,NA
